Team,Year,Split,G,Cmp,Att,Pct,Yds,TD,Avg,Plays,Pass,Rush,Pen,Tot,No.,Fum,Int
Boston College,2023,Offense,13,15.7,42.1,56.5,55.2,1.9,5.5,69.8,7.5,12.4,1.6,1.5,6.5,0.4,1.1
Boston College,2023,Defense,13,14.9,35.5,58.1,49.2,2.3,6.3,61.2,9.1,8.2,1.7,1.3,6.1,0.7,0.6
Boston College,2023,Difference,,+0.8,+6.6,-1.6,+6.0,-0.4,-0.8,+8.6,-1.6,+4.2,-0.1,+0.2,+0.4,-0.3,+0.5
Boston College,2022,Offense,12,21.8,30.2,59.5,48.5,0.5,4.6,66.8,10.1,5.4,1.3,2.2,6.0,1.0,1.2
Boston College,2022,Defense,12,17.1,38.2,58.9,51.9,2.1,5.6,67.2,9.7,8.3,2.1,1.3,6.8,0.7,0.6
Boston College,2022,Difference,,+4.7,-8.0,+0.6,-3.4,-1.6,-1.0,-0.4,+0.4,-2.9,-0.8,+0.9,-0.8,+0.3,+0.6
Bowling Green,2024,Offense,13,21.2,32.7,65.9,45.8,1.5,5.8,64.9,10.9,7.6,1.3,0.8,5.3,0.4,0.5
Bowling Green,2024,Defense,13,16.5,34.1,57.8,44.0,1.1,5.3,62.5,8.3,7.8,1.4,1.1,5.2,0.2,0.9
Bowling Green,2024,Difference,,+4.7,-1.4,+8.1,+1.8,+0.4,+0.5,+2.4,+2.6,-0.2,-0.1,-0.3,+0.1,+0.2,-0.4
Bowling Green,2023,Offense,13,16.4,33.0,59.7,60.9,1.7,5.4,60.5,7.7,7.8,1.2,1.5,6.9,0.4,1.1
Bowling Green,2023,Defense,13,15.5,36.1,59.4,39.2,1.2,5.2,62.2,8.0,9.4,1.5,2.2,5.2,0.8,1.3
Bowling Green,2023,Difference,,+0.9,-3.1,+0.3,+21.7,+0.5,+0.2,-1.7,-0.3,-1.6,-0.3,-0.7,+1.7,-0.4,-0.2
Bowling Green,2022,Offense,13,20.5,31.9,60.7,70.5,0.6,5.1,65.6,9.7,6.2,1.5,1.8,7.8,0.9,0.8
Bowling Green,2022,Defense,13,21.6,38.8,64.7,51.1,1.7,5.8,72.2,11.2,8.8,1.5,1.8,5.9,1.0,0.8
