School,Year,W,L,Pct,Year Link
Oklahoma State,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/oklahoma-state/2022.html
Old Dominion,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/old-dominion/2024.html
Old Dominion,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/old-dominion/2023.html
Old Dominion,2022,3,9,.250,https://www.sports-reference.com/cfb/schools/old-dominion/2022.html
Ole Miss,2024,10,3,.769,https://www.sports-reference.com/cfb/schools/mississippi/2024.html
Ole Miss,2023,11,2,.846,https://www.sports-reference.com/cfb/schools/mississippi/2023.html
Ole Miss,2022,8,5,.615,https://www.sports-reference.com/cfb/schools/mississippi/2022.html
Oregon,2024,13,1,.929,https://www.sports-reference.com/cfb/schools/oregon/2024.html
Oregon,2023,12,2,.857,https://www.sports-reference.com/cfb/schools/oregon/2023.html
Oregon,2022,10,3,.769,https://www.sports-reference.com/cfb/schools/oregon/2022.html
Oregon State,2024,5,7,.417,https://www.sports-reference.com/cfb/schools/oregon-state/2024.html
Oregon State,2023,8,5,.615,https://www.sports-reference.com/cfb/schools/oregon-state/2023.html
Oregon State,2022,10,3,.769,https://www.sports-reference.com/cfb/schools/oregon-state/2022.html
Penn State,2024,13,3,.813,https://www.sports-reference.com/cfb/schools/penn-state/2024.html
Penn State,2023,10,3,.769,https://www.sports-reference.com/cfb/schools/penn-state/2023.html
Penn State,2022,11,2,.846,https://www.sports-reference.com/cfb/schools/penn-state/2022.html
Pitt,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/pittsburgh/2024.html
Pitt,2023,3,9,.250,https://www.sports-reference.com/cfb/schools/pittsburgh/2023.html
Pitt,2022,9,4,.692,https://www.sports-reference.com/cfb/schools/pittsburgh/2022.html
Purdue,2024,1,11,.083,https://www.sports-reference.com/cfb/schools/purdue/2024.html
Purdue,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/purdue/2023.html
Purdue,2022,8,6,.571,https://www.sports-reference.com/cfb/schools/purdue/2022.html
Rice,2024,4,8,.333,https://www.sports-reference.com/cfb/schools/rice/2024.html
Rice,2023,6,7,.462,https://www.sports-reference.com/cfb/schools/rice/2023.html
Rice,2022,5,8,.385,https://www.sports-reference.com/cfb/schools/rice/2022.html
Rutgers,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/rutgers/2024.html
Rutgers,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/rutgers/2023.html
Rutgers,2022,4,8,.333,https://www.sports-reference.com/cfb/schools/rutgers/2022.html
San Diego State,2024,3,9,.250,https://www.sports-reference.com/cfb/schools/san-diego-state/2024.html
San Diego State,2023,4,8,.333,https://www.sports-reference.com/cfb/schools/san-diego-state/2023.html
San Diego State,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/san-diego-state/2022.html
San Jose State,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/san-jose-state/2024.html
San Jose State,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/san-jose-state/2023.html
San Jose State,2022,7,5,.583,https://www.sports-reference.com/cfb/schools/san-jose-state/2022.html
SMU,2024,11,3,.786,https://www.sports-reference.com/cfb/schools/southern-methodist/2024.html
SMU,2023,11,3,.786,https://www.sports-reference.com/cfb/schools/southern-methodist/2023.html
SMU,2022,7,6,.538,https://www.sports-reference.com/cfb/schools/southern-methodist/2022.html
South Alabama,2024,7,6,.538,https://www.sports-reference.com/cfb/schools/south-alabama/2024.html
South Alabama,2023,7,6,.538,https://www.sports-reference.com/cfb/schools/south-alabama/2023.html
