Team,Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate
Georgia State,2023,13,249,367,68.0,2668,20,5.5,7,1.9,7.3,7.52,10.7,205.2,143.5
Georgia State,2022,12,174,298,58.6,2443,18,6.1,7,2.4,8.2,8.38,14.0,203.6,143.0
Georgia Tech,2024,13,269,412,65.9,3088,17,4.2,7,1.7,7.6,7.63,11.5,237.5,139.8
Georgia Tech,2023,13,231,379,61.3,2871,27,7.2,17,4.5,7.6,7.02,12.4,220.8,139.9
Georgia Tech,2022,12,219,381,57.5,2306,10,2.6,9,2.4,6.1,5.51,10.5,192.2,112.3
Hawaii,2024,12,286,480,59.6,3218,25,5.2,15,3.1,6.7,6.34,11.3,268.2,126.8
Hawaii,2023,13,337,537,63.0,3593,27,5.0,15,2.8,6.7,6.46,10.7,276.4,130.5
Hawaii,2022,13,261,490,53.4,2672,13,2.7,12,2.5,5.5,4.89,10.2,205.5,103.1
Houston,2024,12,182,280,65.0,1832,9,3.2,17,6.1,6.5,4.45,10.1,152.7,118.4
Houston,2023,12,261,408,64.1,2898,24,5.9,13,3.2,7.1,6.86,11.1,241.5,137.0
Houston,2022,13,337,500,67.5,4082,40,8.0,10,2.0,8.2,8.88,12.1,314.0,158.7
Illinois,2024,13,213,353,60.5,2746,22,6.3,6,1.7,7.8,8.28,12.9,211.2,143.3
Illinois,2023,12,261,415,63.0,3175,23,5.6,13,3.1,7.7,7.37,12.2,264.6,139.5
Illinois,2022,13,275,395,69.6,2753,15,3.8,5,1.3,7.0,7.16,10.0,211.8,138.2
Indiana,2024,13,246,361,68.3,3397,33,9.2,6,1.7,9.4,10.52,13.8,261.3,174.5
Indiana,2023,12,215,367,58.6,2553,18,4.9,10,2.7,7.0,6.71,11.9,212.8,127.8
Indiana,2022,12,261,483,54.0,2609,16,3.3,13,2.7,5.4,4.85,10.0,217.4,105.0
Iowa,2024,13,163,260,62.7,1711,10,3.8,8,3.1,6.6,5.97,10.5,131.6,124.5
Iowa,2023,14,170,348,48.9,1661,9,2.6,11,3.2,4.8,3.87,9.8,118.6,91.2
Iowa,2022,13,192,349,55.2,2037,7,2.0,7,2.0,5.9,5.35,10.6,156.7,107.0
Iowa State,2024,14,277,473,59.1,3580,25,5.3,10,2.1,7.6,7.74,12.9,255.7,136.5
Iowa State,2023,13,241,381,63.4,3185,23,6.1,8,2.1,8.4,8.64,13.2,245.0,149.6
Iowa State,2022,12,313,479,65.5,3141,19,4.0,15,3.1,6.6,5.95,10.0,261.8,127.5
Kansas,2024,12,176,306,57.5,2505,15,4.9,12,3.9,8.2,7.4,14.2,208.8,134.6
Kansas,2023,13,200,311,64.3,3121,24,7.7,11,3.5,10.0,9.99,15.6,240.1,167.0
Kansas,2022,13,242,371,65.2,3307,32,8.6,8,2.2,8.9,9.67,13.7,254.4,164.3
Kansas State,2024,13,222,383,58.3,2748,25,6.6,10,2.6,7.2,7.34,12.4,211.4,135.3
Kansas State,2023,13,258,426,60.7,3135,30,7.1,10,2.4,7.4,7.73,12.2,241.2,141.3
Kansas State,2022,14,242,389,62.2,2947,21,5.4,6,1.5,7.6,7.96,12.2,210.5,140.6
Kent State,2024,12,139,294,47.3,1876,18,6.1,13,4.4,6.4,5.62,13.5,156.3,112.2
