Team,Year,Team ID,Split,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
Iowa,2022,312,All Games,13,418,245,58.6,2203,5.3,13,15,105.96,32.2,169.5
Iowa State,2024,311,All Games,14,372,196,52.7,2318,6.2,18,15,112.94,26.6,165.6
Iowa State,2023,311,All Games,13,448,250,55.8,2976,6.6,21,16,119.93,34.5,228.9
Iowa State,2022,311,All Games,12,322,190,59.0,2139,6.6,20,7,130.96,26.8,178.3
Kansas,2024,328,All Games,12,360,227,63.1,2869,8.0,25,12,146.25,30.0,239.1
Kansas,2023,328,All Games,13,382,253,66.2,2817,7.4,16,14,134.66,29.4,216.7
Kansas,2022,328,All Games,13,428,277,64.7,3382,7.9,21,12,141.68,32.9,260.2
Kansas State,2024,327,All Games,13,416,244,58.7,2921,7.0,20,10,128.69,32.0,224.7
Kansas State,2023,327,All Games,13,438,247,56.4,2926,6.7,16,13,118.61,33.7,225.1
Kansas State,2022,327,All Games,14,463,270,58.3,3141,6.8,21,16,123.37,33.1,224.4
Kent State,2024,331,All Games,12,346,226,65.3,3013,8.7,27,4,161.91,28.8,251.1
Kent State,2023,331,All Games,12,315,184,58.4,2574,8.2,21,6,145.24,26.3,214.5
Kent State,2022,331,All Games,12,403,282,70.0,3271,8.1,23,7,153.52,33.6,272.6
Kentucky,2024,334,All Games,12,279,177,63.4,2204,7.9,9,10,133.28,23.3,183.7
Kentucky,2023,334,All Games,13,430,291,67.7,3126,7.3,20,11,138.97,33.1,240.5
Kentucky,2022,334,All Games,13,347,206,59.4,2220,6.4,10,10,116.86,26.7,170.8
LSU,2024,365,All Games,13,380,232,61.1,2916,7.7,11,6,131.90,29.2,224.3
LSU,2023,365,All Games,13,420,268,63.8,3323,7.9,23,10,143.58,32.3,255.6
LSU,2022,365,All Games,14,423,236,55.8,2887,6.8,17,9,122.12,30.2,206.2
Louisiana,2024,671,All Games,14,430,273,63.5,2719,6.3,19,16,123.74,30.7,194.2
Louisiana,2023,671,All Games,13,387,238,61.5,2795,7.2,22,13,134.20,29.8,215.0
Louisiana,2022,671,All Games,13,424,244,57.5,2861,6.7,18,15,121.16,32.6,220.1
Louisiana Tech,2024,366,All Games,13,366,204,55.7,2247,6.1,11,5,114.50,28.2,172.8
Louisiana Tech,2023,366,All Games,12,317,173,54.6,2224,7.0,18,5,129.09,26.4,185.3
Louisiana Tech,2022,366,All Games,12,386,219,56.7,2707,7.0,20,11,127.05,32.2,225.6
Louisiana-Monroe,2024,498,All Games,12,327,192,58.7,2207,6.7,15,6,126.88,27.3,183.9
Louisiana-Monroe,2023,498,All Games,12,397,257,64.7,3299,8.3,28,11,152.27,33.1,274.9
Louisiana-Monroe,2022,498,All Games,12,346,230,66.5,2792,8.1,17,6,146.99,28.8,232.7
Louisville,2024,367,All Games,13,422,263,62.3,3070,7.3,24,10,137.46,32.5,236.2
Louisville,2023,367,All Games,14,416,231,55.5,3042,7.3,22,13,128.16,29.7,217.3
Louisville,2022,367,All Games,13,362,211,58.3,2561,7.1,17,15,124.93,27.8,197.0
Marshall,2024,388,All Games,13,382,219,57.3,2588,6.8,15,13,120.39,29.4,199.1
Marshall,2023,388,All Games,13,423,249,58.9,2873,6.8,23,13,127.71,32.5,221.0
Marshall,2022,388,All Games,13,421,217,51.5,2620,6.2,12,18,104.67,32.4,201.5
Maryland,2024,392,All Games,12,384,240,62.5,2896,7.5,22,9,140.07,32.0,241.3
Maryland,2023,392,All Games,13,414,236,57.0,2712,6.6,17,17,117.38,31.8,208.6
Maryland,2022,392,All Games,13,467,267,57.2,2903,6.2,17,9,117.54,35.9,223.3
Massachusetts,2024,400,All Games,12,269,156,58.0,2119,7.9,19,6,143.01,22.4,176.6
Massachusetts,2023,400,All Games,12,286,162,56.6,2474,8.7,24,8,151.40,23.8,206.2
Massachusetts,2022,400,All Games,12,266,143,53.8,2103,7.9,17,9,134.49,22.2,175.3
Memphis,2024,404,All Games,13,457,275,60.2,3348,7.3,17,11,129.19,35.2,257.5
Memphis,2023,404,All Games,13,433,261,60.3,3484,8.0,25,11,141.84,33.3,268.0
Memphis,2022,404,All Games,13,449,282,62.8,3137,7.0,24,16,132.01,34.5,241.3
Miami (FL),2024,415,All Games,13,416,240,57.7,2787,6.7,22,14,124.69,32.0,214.4
Miami (FL),2023,415,All Games,13,396,225,56.8,2808,7.1,16,12,123.65,30.5,216.0
Miami (FL),2022,415,All Games,12,335,204,60.9,2797,8.3,20,14,142.37,27.9,233.1
Miami (OH),2024,414,All Games,14,464,268,57.8,2720,5.9,10,13,108.51,33.1,194.3
Miami (OH),2023,414,All Games,14,424,249,58.7,2774,6.5,12,11,117.83,30.3,198.1
Miami (OH),2022,414,All Games,13,445,273,61.3,3083,6.9,17,11,127.22,34.2,237.2
Michigan,2024,418,All Games,13,436,262,60.1,2812,6.4,19,12,123.15,33.5,216.3
Michigan,2023,418,All Games,15,415,229,55.2,2355,5.7,8,18,100.54,27.7,157.0
Michigan,2022,418,All Games,14,458,256,55.9,2719,5.9,11,14,107.59,32.7,194.2
Michigan State,2024,416,All Games,12,339,206,60.8,2483,7.3,20,9,136.45,28.3,206.9
Michigan State,2023,416,All Games,12,366,226,61.7,2854,7.8,24,9,143.97,30.5,237.8
Michigan State,2022,416,All Games,12,360,239,66.4,2855,7.9,26,2,155.73,30.0,237.9
Middle Tennessee State,2024,419,All Games,12,343,231,67.3,3026,8.8,27,5,164.51,28.6,252.2
Middle Tennessee State,2023,419,All Games,12,429,268,62.5,2994,7.0,19,8,131.98,35.8,249.5
Middle Tennessee State,2022,419,All Games,13,510,294,57.6,3805,7.5,29,20,131.24,39.2,292.7
Minnesota,2024,428,All Games,13,373,220,59.0,2289,6.1,11,17,111.14,28.7,176.1
Minnesota,2023,428,All Games,13,391,244,62.4,2851,7.3,23,12,136.92,30.1,219.3
Minnesota,2022,428,All Games,13,394,229,58.1,2414,6.1,8,14,109.18,30.3,185.7
Mississippi State,2024,430,All Games,12,341,240,70.4,2874,8.4,23,7,159.33,28.4,239.5
Mississippi State,2023,430,All Games,12,340,231,67.9,2456,7.2,21,7,144.88,28.3,204.7
Mississippi State,2022,430,All Games,13,423,253,59.8,2734,6.5,15,14,119.18,32.5,210.3
Missouri,2024,434,All Games,13,325,198,60.9,2357,7.3,14,7,131.75,25.0,181.3
Missouri,2023,434,All Games,13,406,250,61.6,2772,6.8,22,9,132.39,31.2,213.2
Missouri,2022,434,All Games,13,393,235,59.8,2799,7.1,18,11,129.13,30.2,215.3
Navy,2024,726,All Games,13,405,240,59.3,2767,6.8,19,17,123.73,31.2,212.8
Navy,2023,726,All Games,12,345,225,65.2,2698,7.8,18,10,142.33,28.8,224.8
Navy,2022,726,All Games,12,348,220,63.2,3002,8.6,25,8,154.79,29.0,250.2
Nebraska,2024,463,All Games,13,379,242,63.9,2817,7.4,23,11,140.52,29.2,216.7
Nebraska,2023,463,All Games,12,412,245,59.5,2527,6.1,14,9,117.83,34.3,210.6
Nebraska,2022,463,All Games,12,408,243,59.6,2704,6.6,18,9,125.38,34.0,225.3
Nevada,2024,466,All Games,13,347,210,60.5,2582,7.4,13,11,129.04,26.7,198.6
Nevada,2023,466,All Games,12,346,225,65.0,3049,8.8,24,9,156.74,28.8,254.1
Nevada,2022,466,All Games,12,356,214,60.1,2779,7.8,17,11,135.26,29.7,231.6
Nevada-Las Vegas,2024,465,All Games,14,517,296,57.3,3302,6.4,20,17,117.08,36.9,235.9
Nevada-Las Vegas,2023,465,All Games,14,399,245,61.4,3552,8.9,26,17,149.16,28.5,253.7
Nevada-Las Vegas,2022,465,All Games,12,359,223,62.1,2709,7.5,21,15,136.46,29.9,225.8
New Mexico,2024,473,All Games,12,396,256,64.6,3350,8.5,30,3,159.19,33.0,279.2
New Mexico,2023,473,All Games,12,320,195,60.9,2824,8.8,24,4,157.32,26.7,235.3
New Mexico,2022,473,All Games,12,320,195,60.9,2433,7.6,15,9,134.65,26.7,202.8
New Mexico State,2024,472,All Games,12,381,220,57.7,3019,7.9,21,9,137.77,31.8,251.6
New Mexico State,2023,472,All Games,15,477,305,63.9,3730,7.8,19,7,139.83,31.8,248.7
New Mexico State,2022,472,All Games,13,376,221,58.8,2425,6.4,14,7,121.52,28.9,186.5
North Carolina,2024,457,All Games,13,374,217,58.0,2942,7.9,19,9,136.04,28.8,226.3
North Carolina,2023,457,All Games,13,431,268,62.2,3136,7.3,20,12,133.04,33.2,241.2
North Carolina,2022,457,All Games,14,482,317,65.8,3798,7.9,27,9,146.72,34.4,271.3
North Carolina State,2024,490,All Games,13,426,261,61.3,3040,7.1,19,10,131.24,32.8,233.8
North Carolina State,2023,490,All Games,13,421,238,56.5,2803,6.7,20,17,120.06,32.4,215.6
North Carolina State,2022,490,All Games,13,461,264,57.3,2941,6.4,15,19,113.36,35.5,226.2
North Texas,2024,497,All Games,13,426,261,61.3,3440,8.1,23,11,141.76,32.8,264.6
North Texas,2023,497,All Games,12,328,191,58.2,2655,8.1,22,10,142.26,27.3,221.3
North Texas,2022,497,All Games,14,487,309,63.4,3669,7.5,24,8,139.71,34.8,262.1
Northern Illinois,2024,503,All Games,13,372,200,53.8,2242,6.0,15,9,112.86,28.6,172.5
Northern Illinois,2023,503,All Games,13,352,200,56.8,2225,6.3,13,10,116.43,27.1,171.2
Northern Illinois,2022,503,All Games,12,361,224,62.0,3034,8.4,32,8,157.46,30.1,252.8
Northwestern,2024,509,All Games,12,391,245,62.7,2782,7.1,15,10,129.97,32.6,231.8
Northwestern,2023,509,All Games,13,358,232,64.8,2378,6.6,15,13,127.16,27.5,182.9
Northwestern,2022,509,All Games,12,312,185,59.3,2201,7.1,17,6,132.68,26.0,183.4
Notre Dame,2024,513,All Games,16,451,235,52.1,2710,6.0,14,19,104.40,28.2,169.4
Notre Dame,2023,513,All Games,13,372,195,52.4,2045,5.5,8,16,97.09,28.6,157.3
Notre Dame,2022,513,All Games,13,395,232,58.7,2574,6.5,20,10,125.11,30.4,198.0
Ohio,2024,519,All Games,14,434,265,61.1,2976,6.9,16,11,125.76,31.0,212.6
Ohio,2023,519,All Games,13,371,233,62.8,2376,6.4,14,15,120.95,28.5,182.8
Ohio,2022,519,All Games,14,511,333,65.2,4004,7.8,29,12,145.02,36.5,286.0
Ohio State,2024,518,All Games,16,442,267,60.4,2672,6.0,10,10,114.13,27.6,167.0
Ohio State,2023,518,All Games,13,376,198,52.7,1897,5.0,9,7,99.22,28.9,145.9
Ohio State,2022,518,All Games,13,360,212,58.9,2606,7.2,19,11,131.01,27.7,200.5
Oklahoma,2024,522,All Games,13,361,217,60.1,2641,7.3,17,9,132.11,27.8,203.2
Oklahoma,2023,522,All Games,13,474,269,56.8,3260,6.9,18,20,118.62,36.5,250.8
Oklahoma,2022,522,All Games,13,499,309,61.9,3556,7.1,20,17,128.20,38.4,273.5
Oklahoma State,2024,521,All Games,12,405,254,62.7,3427,8.5,26,12,149.06,33.8,285.6
Oklahoma State,2023,521,All Games,14,443,269,60.7,3850,8.7,27,13,147.96,31.6,275.0
