Team,Year,Team ID,Split,G,Att,Yards,Avg.,TD,Att/G,Yards/G
Colorado,2024,157,All Games,13,509,1968,3.87,17,39.15,151.38
Colorado,2023,157,All Games,12,451,2117,4.69,24,37.58,176.42
Colorado,2022,157,All Games,12,485,2941,6.06,39,40.42,245.08
Colorado State,2024,156,All Games,13,457,2077,4.54,21,35.15,159.77
Colorado State,2023,156,All Games,12,485,1995,4.11,18,40.42,166.25
Colorado State,2022,156,All Games,12,473,1963,4.15,24,39.42,163.58
Connecticut,2024,164,All Games,13,453,1720,3.80,16,34.85,132.31
Connecticut,2023,164,All Games,12,420,1772,4.22,22,35.00,147.67
Connecticut,2022,164,All Games,13,502,2206,4.39,24,38.62,169.69
Duke,2024,193,All Games,13,519,1945,3.75,15,39.92,149.62
Duke,2023,193,All Games,13,473,1845,3.90,15,36.38,141.92
Duke,2022,193,All Games,13,426,1572,3.69,10,32.77,120.92
East Carolina,2024,196,All Games,13,543,2208,4.07,21,41.77,169.85
East Carolina,2023,196,All Games,12,436,1466,3.36,13,36.33,122.17
East Carolina,2022,196,All Games,13,425,1462,3.44,15,32.69,112.46
Eastern Michigan,2024,204,All Games,12,436,1954,4.48,19,36.33,162.83
Eastern Michigan,2023,204,All Games,13,513,2452,4.78,24,39.46,188.62
Eastern Michigan,2022,204,All Games,13,472,2029,4.30,23,36.31,156.08
Florida,2024,235,All Games,13,512,1943,3.79,17,39.38,149.46
Florida,2023,235,All Games,12,386,1867,4.84,21,32.17,155.58
Florida,2022,235,All Games,13,507,2278,4.49,29,39.00,175.23
Florida Atlantic,2024,229,All Games,12,450,2202,4.89,18,37.50,183.50
Florida Atlantic,2023,229,All Games,12,477,1791,3.75,12,39.75,149.25
Florida Atlantic,2022,229,All Games,12,440,2148,4.88,15,36.67,179.00
Florida International,2024,231,All Games,12,492,2296,4.67,28,41.00,191.33
Florida International,2023,231,All Games,12,487,2290,4.70,17,40.58,190.83
Florida International,2022,231,All Games,12,493,2301,4.67,31,41.08,191.75
Florida State,2024,234,All Games,12,477,2216,4.65,21,39.75,184.67
Florida State,2023,234,All Games,14,509,2131,4.19,17,36.36,152.21
